"year","month","day","mode","route","peak","numerator","denominator"
2023,5,19,"Bus","1","PEAK",246,342
2023,5,19,"Bus","86","OFF_PEAK",273,457
2023,5,19,"Bus","86","PEAK",186,243
2023,5,20,"Bus","1","OFF_PEAK",1375,1822
2023,5,20,"Bus","86","OFF_PEAK",311,515
2023,5,21,"Bus","1","OFF_PEAK",803,1058
2023,5,21,"Bus","86","OFF_PEAK",149,364
2023,5,22,"Bus","1","OFF_PEAK",848,1164
2023,5,22,"Bus","1","PEAK",243,328
2023,5,22,"Bus","86","OFF_PEAK",342,482
2023,5,22,"Bus","86","PEAK",197,279
2023,5,23,"Bus","1","OFF_PEAK",952,1325
2023,5,23,"Bus","1","PEAK",281,388
2023,5,23,"Bus","86","OFF_PEAK",347,497
2023,5,23,"Bus","86","PEAK",221,298
2023,5,24,"Bus","1","OFF_PEAK",656,916
2023,5,24,"Bus","1","PEAK",218,341
2023,5,24,"Bus","86","OFF_PEAK",238,446
2023,5,24,"Bus","86","PEAK",163,253
2023,5,25,"Bus","1","OFF_PEAK",759,1025
2023,5,25,"Bus","1","PEAK",251,370
2023,5,25,"Bus","86","OFF_PEAK",241,443
2023,5,25,"Bus","86","PEAK",103,241
2023,5,26,"Bus","1","OFF_PEAK",875,1248
2023,5,26,"Bus","1","PEAK",345,445
2023,5,26,"Bus","86","OFF_PEAK",217,433
2023,5,26,"Bus","86","PEAK",169,255
2023,5,27,"Bus","1","OFF_PEAK",1174,1553
2023,5,27,"Bus","86","OFF_PEAK",241,482
2023,5,28,"Bus","1","OFF_PEAK",996,1326
2023,5,28,"Bus","86","OFF_PEAK",162,350
2023,5,29,"Bus","1","OFF_PEAK",971,1320
2023,5,29,"Bus","86","OFF_PEAK",251,364
2023,5,30,"Bus","1","OFF_PEAK",1093,1451
2023,5,30,"Bus","1","PEAK",326,428
2023,5,30,"Bus","86","OFF_PEAK",336,497
2023,5,30,"Bus","86","PEAK",227,298
2023,5,31,"Bus","1","OFF_PEAK",846,1244
2023,5,31,"Bus","1","PEAK",267,375
2023,5,31,"Bus","86","OFF_PEAK",277,459
2023,5,31,"Bus","86","PEAK",160,244
2023,6,1,"Bus","1","OFF_PEAK",609,770
2023,6,1,"Bus","1","PEAK",166,238
2023,6,1,"Bus","86","OFF_PEAK",194,376
2023,6,1,"Bus","86","PEAK",113,173
2023,6,2,"Bus","1","OFF_PEAK",624,878
2023,6,2,"Bus","1","PEAK",216,290
2023,6,2,"Bus","86","OFF_PEAK",272,456
2023,6,2,"Bus","86","PEAK",202,253
2023,6,3,"Bus","1","OFF_PEAK",1261,1602
2023,6,3,"Bus","86","OFF_PEAK",333,528
2023,6,4,"Bus","1","OFF_PEAK",1043,1380
2023,6,4,"Bus","86","OFF_PEAK",189,364
2023,6,5,"Bus","1","OFF_PEAK",851,1208
2023,6,5,"Bus","1","PEAK",281,379
2023,6,5,"Bus","86","OFF_PEAK",376,480
2023,6,5,"Bus","86","PEAK",195,272
2023,6,6,"Bus","1","OFF_PEAK",873,1254
2023,6,6,"Bus","1","PEAK",194,320
2023,6,6,"Bus","86","OFF_PEAK",269,447
2023,6,6,"Bus","86","PEAK",170,219
2023,6,7,"Bus","1","OFF_PEAK",949,1278
2023,6,7,"Bus","1","PEAK",252,383
2023,6,7,"Bus","86","OFF_PEAK",311,493
2023,6,7,"Bus","86","PEAK",195,272
2023,6,8,"Bus","1","OFF_PEAK",702,1040
2023,6,8,"Bus","1","PEAK",216,286
2023,6,8,"Bus","86","OFF_PEAK",322,487
2023,6,8,"Bus","86","PEAK",185,268
2023,6,9,"Bus","1","OFF_PEAK",710,1031
2023,6,9,"Bus","1","PEAK",198,277
2023,6,9,"Bus","86","OFF_PEAK",237,398
2023,6,9,"Bus","86","PEAK",124,170
2023,6,10,"Bus","1","OFF_PEAK",904,1278
2023,6,10,"Bus","86","OFF_PEAK",340,530
2023,6,11,"Bus","1","OFF_PEAK",1120,1429
2023,6,11,"Bus","86","OFF_PEAK",182,363
2023,6,12,"Bus","1","OFF_PEAK",702,983
2023,6,12,"Bus","1","PEAK",220,297
2023,6,12,"Bus","86","OFF_PEAK",312,416
2023,6,12,"Bus","86","PEAK",151,187
2023,6,13,"Bus","1","OFF_PEAK",600,855
2023,6,13,"Bus","1","PEAK",232,307
